epoch,mode,loss,acc,eval_acc,complexity,information_loss,distractors,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,train_method,batch_size,random_seed,data_seed
95,test,0.08803337067365646,0.9389999508857727,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
96,train,0.0853993147611618,0.9390000700950623,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
96,test,0.08803316950798035,0.9420000314712524,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
97,train,0.08539910614490509,0.9387999773025513,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
97,test,0.08803299814462662,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
98,train,0.08539894223213196,0.9409999847412109,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
98,test,0.0880327969789505,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
99,train,0.08539877086877823,0.9387999773025513,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
99,test,0.08803265541791916,0.9309999346733093,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
100,train,0.08539862930774689,0.9398000240325928,0.9375,18.47117692525756,62.1726182140658,50,100,200,100,200,1,1,gru,continuous,50,42,100
100,test,0.08803250640630722,0.9369999766349792,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
